timestamp,value
2025-02-24T16:45:04Z,50
2025-02-24T16:46:04Z,93.8
2025-02-24T16:47:04Z,88.4
2025-02-24T16:48:04Z,50
2025-02-24T16:49:04Z,86.8
2025-02-24T16:50:04Z,87.2
2025-02-24T16:51:04Z,50
2025-02-24T16:52:04Z,84.9
2025-02-24T16:53:04Z,84
2025-02-24T16:54:04Z,50
2025-02-24T16:55:04Z,80.1
2025-02-24T16:56:04Z,82
2025-02-24T16:57:04Z,84.4
2025-02-24T16:58:04Z,84.7
2025-02-24T16:59:04Z,84.6
2025-02-24T17:00:04Z,87
2025-02-24T17:01:04Z,88.4
2025-02-24T17:02:04Z,88.1
2025-02-24T17:03:04Z,89.4
2025-02-24T17:04:04Z,90.8
2025-02-24T17:05:04Z,90.8
2025-02-24T17:06:04Z,90.5
2025-02-24T17:07:04Z,90.2
2025-02-24T17:08:04Z,86.7
2025-02-24T17:09:04Z,50
2025-02-24T17:10:04Z,50
2025-02-24T17:11:04Z,50
2025-02-24T17:12:04Z,86.2
2025-02-24T17:13:04Z,88.4
2025-02-24T17:14:04Z,88
2025-02-24T17:15:04Z,89.1
2025-02-24T17:16:04Z,88.8
2025-02-24T17:17:04Z,50
2025-02-24T17:18:04Z,50
2025-02-24T17:19:04Z,86.5
2025-02-24T17:20:04Z,85.9
2025-02-24T17:21:04Z,84.7
2025-02-24T17:22:04Z,50
2025-02-24T17:23:04Z,50
2025-02-24T17:24:04Z,50
2025-02-24T17:25:04Z,85.6
2025-02-24T17:26:04Z,50
2025-02-24T17:27:04Z,87.8
2025-02-24T17:28:04Z,89.6
2025-02-24T17:29:04Z,91.3
2025-02-24T17:30:04Z,92.5
2025-02-24T17:31:04Z,50
2025-02-24T17:32:04Z,94.2
2025-02-24T17:33:04Z,95.2
2025-02-24T17:34:04Z,96.3
2025-02-24T17:35:04Z,96.8
2025-02-24T17:36:04Z,96.6
2025-02-24T17:37:04Z,96.2
2025-02-24T17:38:04Z,96.5
2025-02-24T17:39:04Z,96.6
2025-02-24T17:40:04Z,96.3
